Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen
2,1,3417,4042,1034,633,1989,17645
2,1,8552,12844,28245,25,3830,2280
2,1,10908,3880,13031,1031,17773,5167
1,1,11055,3634,3881,830,2861,3315
1,1,18622,2096,3428,1059,1504,11593
2,1,2223,3289,5981,874,1492,2464
2,1,13227,3605,3521,15348,597,13626
1,1,9053,4859,1210,3141,5641,86
1,1,4172,1990,6082,15082,1034,56
2,1,4657,6046,1173,750,282,4167
2,1,12232,10940,14039,323,130,256
1,1,2593,5499,1901,6250,3881,788
1,1,14316,8494,22686,707,9927,70
2,1,5429,3783,3745,716,2540,761
2,1,4910,5266,7594,1442,4006,2568
2,1,6964,4847,7969,1697,3635,263
2,1,1172,1377,19746,230,2583,4762
1,1,2602,3686,4734,2631,1945,694
2,1,6939,2884,2121,395,1960,955
1,1,7184,2408,4627,2165,1677,1566
2,3,2380,9347,2615,2794,3019,284
1,3,14641,16687,4692,8550,5502,409
1,3,4456,5970,9561,156,907,325
1,3,17063,1750,3477,47943,659,1216
1,3,26400,4230,22335,11,8620,415
1,3,17565,5506,6211,247,1398,28
1,3,16980,1162,39679,727,2921,72
1,3,11243,3218,20105,3,2644,828
2,3,13134,7558,3884,404,6838,343
1,3,31012,351,15076,1856,5390,412
1,3,3047,257,6338,64,1601,586
1,2,8607,6846,5841,84,3576,1682
2,2,3097,299,3136,409,13223,3143
1,2,8533,371,38793,666,220,8933
1,2,21117,17120,3225,1142,127,430
1,2,1982,183,4048,1755,4324,44
1,2,16731,857,28257,2876,2069,562
1,2,29703,3891,17770,1468,9806,918
1,2,39228,8362,34454,697,2854,234
1,2,14531,821,1821,347,1646,18594
1,2,10290,706,10683,731,2349,205
1,2,2787,12408,11635,1681,1389,363
1,2,127,275,1206,6854,1535,1547
1,2,4324,228,20918,18,98,111
1,2,2069,1470,9785,1328,17866,392
1,2,9806,1679,9385,710,5679,3593
1,2,2854,140,3352,285,1691,730
1,2,1646,1272,2647,120,848,967
1,2,2349,387,518,806,364,780
1,2,1389,8845,23632,797,133,49
2,2,1535,210,12377,2100,633,429
1,2,98,492,9602,2870,25,2894
1,2,17866,1824,4515,1775,1031,5980
1,2,5679,9606,11535,1215,830,830
1,2,1691,1783,11442,791,1059,4882
1,2,848,38102,9612,2388,874,737
1,2,364,332,4446,674,15348,6374
1,2,133,4111,27167,1158,3141,333
1,2,633,1462,26539,6372,15082,197
1,2,25,1859,25606,130,2198,147
2,3,1031,8642,18073,749,47,93
2,3,830,1801,6884,239,575,210
2,3,1059,4736,25066,375,13486,759
2,3,874,1291,7362,1360,269,96
2,3,15348,1329,8257,659,1541,603
1,3,3141,913,8708,786,688,621
1,3,15082,1374,6633,1553,13135,274
2,3,2198,179,2126,689,4510,3620
2,3,14903,2532,97,203,437,167
2,3,9434,1285,4983,980,1038,2328
2,3,7388,2306,5969,2137,6545,1041
1,3,6300,1765,7842,490,575,314
1,3,4625,91,4389,834,13486,751
1,3,3087,7496,5065,7,269,436
1,2,13537,5612,660,2563,1541,1226
1,2,5387,784,8861,295,688,386
1,2,17623,660,4456,225,4847,445
1,2,30379,1759,17063,1215,1377,32
1,2,37036,2286,26400,216,3686,965
2,2,10405,950,17565,2253,2884,212
1,2,18827,6845,16980,2564,2408,825
2,2,22039,8321,11243,1047,9347,5952
1,2,7769,1439,13134,578,16687,811
1,2,9203,638,31012,2398,5970,2208
2,2,5924,937,3047,1970,1750,710
2,2,31812,4260,8607,20782,4230,3712
2,2,16225,1218,3097,4042,5506,4538
2,2,1289,2312,8533,1869,1162,290
2,2,18840,4634,21117,8656,3218,2662
2,2,3463,1112,1982,11072,3922,8752
2,2,622,5243,16731,2344,12051,6236
2,2,1989,11422,29703,25962,1431,10069
1,2,3830,2216,39228,964,15488,11783
1,2,17773,3752,14531,15603,1981,3909
2,2,2861,5616,10290,1838,1698,7558
2,2,355,1183,2787,8635,6818,351
1,2,1725,2304,140,18692,3415,257
1,2,12434,1777,2312,7363,948,6846
2,2,15177,2077,7149,47493,1803,299
2,2,5531,5593,2101,22096,3213,371
1,2,5224,2405,1403,24929,108,17120
1,2,15615,8280,9434,18226,5079,183
2,2,4822,19172,7388,11210,439,857
2,2,2926,2405,6300,6202,850,3891
2,2,5809,7647,4625,3062,84,83
2,2,5414,11924,3087,8885,241,821
1,2,260,2201,13537,5249,1377,706
2,2,200,6114,5387,1883,1328,12408
1,2,955,3558,17623,2124,356,275
2,2,514,17645,3039,7336,2371,228
2,2,286,2280,37036,2157,182,1470
2,2,2343,5167,10405,1094,93,1679
2,2,3289,3315,18827,1677,14841,140
2,2,3605,11593,2209,6684,168,1272
2,3,4859,2464,7769,15445,477,387
2,3,1990,13626,9203,13699,17063,88
2,3,6046,1431,5924,22182,26400,210
1,3,10940,1664,31812,2576,17565,492
1,3,5499,3389,16225,19847,16980,182
2,3,8494,4583,1289,1138,11243,9606
1,3,3783,5109,531,975,13134,178
1,3,5266,26839,3001,1563,31012,38102
2,3,4847,1447,779,6869,3047,332
1,3,1377,67298,75,1493,8607,4111
1,3,3686,2743,233,1841,3097,146
2,3,2884,10790,317,223,8533,442
1,3,2408,1330,3378,6964,21117,15
1,3,9347,2611,930,683,1982,573
1,3,16687,7021,398,2543,16731,7271
2,1,5970,5332,824,9694,29703,5162
1,1,1750,9670,1092,2431,39228,4595
1,1,4230,11238,2665,6235,14531,15469
1,1,5506,5923,2367,4252,10290,217
1,1,1162,26316,2540,2013,2787,3843
1,1,3218,1763,4425,12609,10303,6600
1,1,7558,8335,993,3600,8692,4621
1,1,351,15541,405,1242,1042,2857
2,1,257,12311,1393,2828,1619,1573
1,1,6846,2028,2399,1296,8366,1172
1,1,299,20521,1116,471,848,1422
1,1,371,1997,651,2642,1388,1328
1,1,17120,22294,333,3261,502,2313
1,1,183,1533,937,4329,2507,1206
1,1,857,21203,2515,12469,3838,560
1,1,3891,2548,52,6550,902,191
1,1,83,2012,7368,5234,909,1103
1,1,821,218,1752,3643,417,1619
1,1,706,22272,201,6986,3045,1173
1,1,12408,1660,443,9965,1455,1457
1,1,275,2109,520,2060,934,2046
2,1,228,2006,526,6360,264,1089
1,1,1470,864,434,20399,824,1364
2,1,1679,2453,1440,9785,1809,8164
1,1,140,4438,1067,13829,364,876
2,1,1272,1524,1774,24773,492,1504
1,1,387,8025,184,8852,617,1492
1,1,88,1664,1627,21570,799,597
1,1,210,534,845,2842,1840,5641
1,1,492,2406,2153,3007,1149,1034
1,1,182,683,3182,13567,416,282
1,1,9606,4955,418,2405,1465,130
1,1,178,1939,1682,8280,12569,3881
1,1,38102,1641,303,19172,3046,9927
1,1,332,7398,2157,2405,1274,2540
1,1,4111,1668,223,7647,4447,4006
2,1,146,1162,610,11924,183,3635
1,1,1859,13586,446,2201,857,2583
2,1,864,2648,238,6114,3891,1945
1,1,1801,1902,2379,3558,83,1960
1,1,4736,10391,2435,17645,821,1677
2,1,42312,2146,290,2280,706,3019
2,2,7149,1617,1874,5167,12408,5502
2,2,2101,8469,993,3315,275,907
2,2,14903,3450,1063,11593,228,659
2,2,9434,15400,776,2464,1470,8620
2,2,7388,1614,1521,13626,1679,1398
2,2,6300,2857,1393,1431,140,2921
2,2,4625,1573,1784,1664,1272,2644
1,2,3087,1172,1218,3389,387,6838
1,2,13537,1422,668,4583,88,5390
2,2,5387,1328,249,5109,210,1601
2,2,17623,2313,1886,26839,492,3576
1,2,30379,3600,1894,1447,182,13223
1,2,37036,3842,1163,67298,9606,220
2,2,10405,3204,317,1426,178,127
2,2,18827,1263,2501,1242,38102,4324
1,2,22039,9345,2080,1114,332,2069
1,2,7769,1428,1498,179,4111,9806
2,2,9203,582,395,270,146,2854
2,2,5924,935,1449,532,442,1646
2,2,31812,1238,838,2893,15,2349
2,2,16225,2128,2204,361,573,12669
1,2,1289,5091,2346,5120,7271,7057
2,2,18840,4604,1867,1068,5162,6353
1,2,3463,3444,2125,967,4595,13265
2,2,622,1167,5241,961,15469,22615
1,2,1989,5026,4329,406,217,9413
1,2,3830,18683,12469,684,3843,12126
1,2,17773,6407,6550,1000,6600,7579
1,2,2861,6100,5234,1827,4621,5963
1,3,355,4563,3643,654,1184,6006
1,3,1725,3281,6986,819,12218,3366
2,3,12434,12400,9965,452,173,13146
2,3,15177,6633,2060,290,12638,31714
2,3,5531,3417,6360,2213,90,21217
2,3,5224,8552,20399,743,8682,24653
2,3,15615,10908,9785,247,1333,10253
2,3,4822,11055,13829,375,184,1020
2,3,2926,18622,24773,1014,9,5876
2,3,5809,2223,8852,1902,6747,18601
2,3,5414,13227,21570,340,536,7780
2,3,260,9053,2842,288,232,17546
2,3,200,31812,3007,715,468,5567
1,3,955,16225,13567,378,159,31276
1,3,514,1289,2405,960,179,26373
2,3,286,18840,8280,553,1335,22647
2,3,2343,3463,19172,344,514,16165
2,3,45640,622,2405,5137,4515,9898
2,3,12759,1989,7647,1892,2098,14276
2,1,10685,3830,11924,4365,1744,4113
2,1,3823,17773,2201,62,497,43088
2,1,1510,2861,6114,2435,2931,18815
2,1,699,355,3558,290,602,2612
2,1,314,1725,17645,1874,2168,21632
2,1,2479,12434,2280,993,412,29729
2,1,1235,15177,5167,409,1080,1502
1,1,2174,5531,3315,666,4478,688
1,1,2591,5224,11593,1142,3181,29955
2,1,7030,15615,2464,1755,501,15168
2,1,8282,4822,13626,2876,2124,693
1,1,5034,2926,1431,1468,569,429
1,1,3343,5809,1664,697,4334,750
2,1,7305,5414,6746,347,16523,323
2,1,5189,260,7683,731,5778,6250
1,1,8253,200,4320,1681,57,707
1,1,1096,955,4686,6854,833,716
2,1,1988,514,3242,18,518,1442
2,1,34792,286,453,1328,5206,1697
2,1,2177,2343,5004,710,823,230
2,1,2707,45640,6422,285,2963,2631
1,1,542,12759,3012,120,985,395
2,1,1651,10685,3274,806,405,2165
1,1,1765,3823,6818,797,1083,2794
2,1,2022,1510,982,2100,395,8550
2,1,3135,699,4324,2870,436,156
2,1,2368,314,6142,1775,4626,47943
2,3,137,2479,10155,1215,714,11
2,3,19460,1235,2784,791,433,247
2,3,14855,2174,6109,2388,2916,727
2,3,2474,2591,659,674,5864,3
2,2,9618,7030,572,1158,2802,404
1,2,14682,8282,2916,6372,46,1856
1,2,12822,5034,7107,130,72,64
2,2,283,3343,5121,749,65,84
2,2,3810,7305,1693,239,4985,409
2,2,26870,5189,1391,375,1452,666
2,2,8584,8253,3265,1360,6465,1142
2,2,19858,1096,6151,659,1476,1755
2,2,9170,1988,3733,786,1163,2876
2,2,3268,34792,9874,1553,2162,1468
2,2,803,2177,3321,689,301,697
2,2,2155,2707,8189,203,1278,347
2,2,13430,542,548,980,224,731
2,2,19816,1651,2870,2137,1333,1681
2,2,6536,1765,6553,490,1130,6854
2,2,19805,12974,4117,834,1340,18
2,2,19816,4523,1265,7,1282,1328
2,2,6536,11757,3636,2563,436,710
2,2,19805,1982,2563,295,1603,285
2,2,5241,1201,3628,225,22615,120
2,2,11874,3821,6983,1215,9413,806
2,2,6536,1212,8290,216,12126,797
2,2,4533,2933,2317,2253,7579,2100
2,2,4945,100,6200,2564,5963,2870
2,2,2500,9464,2884,1047,6006,1775
2,2,8887,4602,7108,578,3366,1215
2,2,18148,2010,3965,2398,13146,791
2,2,10518,4469,3613,1970,31714,2388
2,2,20170,2201,4411,2784,21217,674
2,3,4710,4100,640,610,24653,1158
2,3,1139,776,2247,659,10253,6372
2,3,854,503,2102,572,1020,130
2,3,9819,405,594,291,5876,749
2,3,11687,712,286,710,18601,239
2,3,11522,314,2160,5121,7780,375
2,3,1981,468,3354,3643,17546,1360
1,3,1381,3105,3086,6986,5567,659
1,3,2251,4471,11103,9965,31276,786
1,3,20292,3423,2013,2060,26373,1553
1,3,2974,5587,1897,6360,22647,689
1,3,5230,2964,1304,20399,16165,203
1,3,4897,2235,3199,9785,9898,980
1,2,10391,5671,4560,13829,14276,2137
1,2,6824,21386,879,24773,4113,490
1,2,2112,12694,6243,8852,43088,834
